Month,Breakfast_25kgs,Roller_25kgs,Maize_grain_20lts,fillet_steak_1kg,Dried Kapenta Siavonga,Charcoal,milling charge
01/12/2016,98.24,80.64,46.03,46,128.36,39.85,6.32
01/01/2017,101.1,83.66,46.46,46.72,137.81,40.38,6.32
01/02/2017,102.73,85.11,49.76,46,136.34,40.3,6.32
01/03/2017,103.46,85.67,53.03,48.4,138.18,40.93,6.5
01/04/2017,100.73,83.32,51.12,46.55,137.54,39.94,6.48
01/05/2017,98.76,80.56,42.82,47.51,131.3,39.33,6.37
01/06/2017,96.37,74.73,36.41,47.31,128.38,39.28,6.56
01/07/2017,88.58,65.84,33.97,46.19,126.78,40.01,6.37
01/08/2017,77.27,57.73,31.07,47.07,124.33,40.28,6.25
01/09/2017,72,54.21,29.1,46.94,128.02,42.05,6.63
01/10/2017,69.36,52.57,28.31,47.13,131.76,40.12,6.62
01/11/2017,66.23,51.24,29,48.6,135.77,42.13,6.73
01/12/2017,66.23,49.76,28.18,47.38,128.74,41.95,6.8
01/01/2018,67.17,50.95,29.31,46.06,118.48,41.65,6.9
01/02/2018,69.72,51.67,28.26,28.53795121,125.7,41.98,6.92
01/03/2018,73.46,53.8,29.25,29.58519345,121.11,42.05,6.95
01/04/2018,77.34,54,29.02,30.63243568,123.8,41.49,6.86
01/05/2018,79.56,57.23,30.74,31.67967792,121.49,42.36,7
01/06/2018,79.22,57.85,30.37,32.72692016,121.3001961,42.3,6.9
01/07/2018,78.42,56.44,29.82,33.77416239,120.4786378,43.29,6.93
01/08/2018,79.39,56.98,30.54,34.82140463,119.6570795,43.75,7.14
01/09/2018,94.73198427,78.84866096,39.67932367,35.86864686,138.7561515,30.95908908,7.436338494
01/10/2018,96.56256475,80.31573427,40.63746402,36.9158891,140.3895183,32.21970425,7.489035139
01/11/2018,98.39314524,81.78280759,41.59560438,37.96313134,142.022885,33.48031942,7.541731784
01/12/2018,100.2237257,83.2498809,42.55374473,39.01037357,143.6562517,34.74093459,7.59442843
01/01/2019,102.0543062,84.71695421,43.51188509,40.05761581,145.2896185,36.00154976,7.647125075
01/02/2019,103.8848867,86.18402752,44.47002545,41.10485805,146.9229852,37.26216493,7.69982172
01/03/2019,105.7154672,87.65110083,45.4281658,42.15210028,148.556352,38.52278011,7.752518365
01/04/2019,107.5460476,89.11817414,46.38630616,43.19934252,150.1897187,39.78339528,7.805215011
01/05/2019,109.3766281,90.58524746,47.34444651,44.24658475,151.8230854,41.04401045,7.857911656
01/06/2019,111.2072086,92.05232077,48.30258687,45.29382699,153.4564522,42.30462562,7.910608301
01/07/2019,113.0377891,93.51939408,49.26072722,46.34106923,155.0898189,43.56524079,7.963304946
01/08/2019,114.8683696,94.98646739,50.21886758,47.38831146,156.7231857,44.82585596,8.016001592
